电影名称,年份,上映时间,电影类型,电影时长,评分,语言,制作组,简介
飞越疯人院,(1975),2026-04-16 (CN),剧情,2h 15m,84,英语,"{'米洛斯·福尔曼': 'Director', '肯·克西': 'Novel', '劳伦斯·豪本': 'Screenplay', '博·戈德曼': 'Screenplay'}",在州立精神病院里休养总比蹲监狱强，对吧？兰德尔·P·麦克墨菲（杰克·尼科尔森 饰），一个血管里流淌着闪电、舌绽莲花的自由派骗子，装疯混进了他所谓的“疯子们”中间。很快，他那极具感染力的无序感便与麻木的例行程序发生冲撞。当世界大赛正酣时，这群被镇静剂泡透的家伙怎能披着浴袍拖沓度日？这意味着战争！一方是麦克墨菲，另一方则是轻声细语的拉契特护士（路易丝·弗莱彻 饰）——这位影史上最冷酷可怕的恶魔之一。而赌注，是整个病房每位患者的命运。
蛊惑兄弟,(2000),2000-09-15 (BR),喜剧、剧情、奇幻、爱情,1h 44m,84,葡萄牙语,"{'Guel Arraes': 'Director, Writer', 'Ariano Suassuna': 'Story', 'João Falcão': 'Writer', 'Adriana Falcão': 'Writer'}",智高和杰克，一对患难穷兄弟，四出寻找工作，最终在面包店找到差事。但店主极为刻薄，兄弟俩的食物比狗还要差。阴差阳错，他们弄死了店主的狗，更要哄骗神父替小狗祈福，闹出笑话连篇。及后智高暗恋大财主之女路仙霞。但智高过于害羞，久久未能成事；杰克唯有替智高制造机会。一日，镇里来了一班悍匪，洗劫村民之余，更进行杀戮游戏……
素媛,(2013),2013-10-02 (KR),剧情,2h 2m,84,朝鲜语,"{'李濬益': 'Director', '金智慧': 'Writer', '曹重勋': 'Writer'}",她是一个美丽平凡的小女孩，和爸爸妈妈生活在位于街角的家中。家里经营着以她的名字素媛命名的杂货店，母亲作为老板娘日夜忙碌不得闲暇，父亲则在工厂干着繁重的工作。在那个飘雨的早上，素媛打着雨伞独自上学。在离学校近在咫尺的地方，她遭遇一个相貌猥琐、酒气冲天的大叔，由此开启了她的悲剧之旅。柔嫩的小花遭到暴风雨无情摧残，受伤的岂止枝枝叶叶，更是那迎着阳光无忧成长的心。无良媒体铺天盖地大肆渲染，作为受害者的素媛一家仿佛成了周身污秽的耻辱之人，被四周诧异好奇的目光所包围。妈妈悲痛欲绝，几近崩溃。爸爸全力保护女儿，但受伤的小天使却拒绝爸爸的靠近。问凶之路伴随着天使的治愈旅程，美丽的女孩可会再露灿烂笑容？
妙不可言,(2021),2021-06-17 (MX),家庭、剧情,1h 28m,84,西班牙语,"{'Ernesto Contreras': 'Director', 'Estéfani Enríquez Soto': 'Screenplay'}",生活是如此奇妙且难以预测，有时会在最不经意的地方发现幸福：一位七旬老妪和她的少年邻居之间产生了深厚的友谊。
蜘蛛侠：平行宇宙,(2018),2018-12-21 (CN),动画、动作、冒险、科幻,1h 56m,84,英语,"{'罗德尼·罗斯曼': 'Director, Screenplay', '菲尔·洛德': 'Screenplay, Story', '鲍勃·佩尔西凯蒂': 'Director', '彼得·拉姆齐': 'Director'}",《乐高大电影》和《龙虎少年队》的创作灵魂菲尔·罗德与克里斯托弗·米勒，将他们独特的才华注入一个全新的蜘蛛侠宇宙，开创了前所未见的突破性视觉风格。本片讲述了布鲁克林少年迈尔斯·莫拉莱斯（沙梅克·摩尔 配音）的冒险故事，并揭开了蜘蛛宇宙的无限可能——在那里，能够戴上英雄面具的远不止一人。[索尼影业]
星球大战5：帝国反击战,(1980),1980-05-21 (US),冒险、动作、科幻,2h 4m,84,英语,"{'厄文·克什纳': 'Director', '利·布拉克特': 'Screenplay', '劳伦斯·卡斯丹': 'Screenplay', '乔治·卢卡斯': 'Story'}",星球大战事件三年后，帝国军队继续追捕义军。义军在霍斯冰原星球战败后，卢克前往达戈巴星球，跟随自共和国覆灭后隐居的绝地大师尤达进行训练。为诱使卢克堕入黑暗面，达斯·维达将年轻的天行者引入贝斯平云城的陷阱。在与西斯尊主的激烈光剑对决中，卢克面对一个惊人的真相。[20世纪福克斯]
露西·希姆斯和和平王子,(2020),2020-10-19 (US),剧情、家庭,1h 27m,84,英语,"{'Rob Diamond': 'Director, Writer'}",假日季节，一位天使帮助一个冷酷的罪犯和一个早熟的小女孩相遇，并改变了他们的内心，从而给予他们第二次机会。
声之形,(2016),2017-09-08 (CN),动画、剧情、爱情,2h 10m,84,日语,"{'山田尚子': 'Director', '吉田玲子': 'Screenplay'}",西宫硝子（早见沙织 配音）生来患有听觉障碍，要依靠助听器和外界交流，口语发音也因此格外的古怪。小学时，硝子转入了一所新的学校，特殊的生理缺陷让她成为了班上引人注目的独特存在，她因此收获了坚实的友情，却也遭到了以男生石田将也（入野自由 配音）为首的小团体的孤立和排挤。随着时 间的推移，无心或有意的恶作剧渐渐升级，最终演变成为了无法挽回的伤害，硝子永远的消失在了众人的眼前。排挤硝子的事情曝光后，将也成为了下一个被欺负的对象，孤独痛苦的他终于理解了硝子的隐忍和温柔，只是他再也没有机会跟硝子道歉了。一次偶然中，将也同硝子重逢了，命运的齿轮重新开始了转动。
哈尔的移动城堡,(2004),2004-04-24 (CN),奇幻、动画、冒险,1h 59m,84,日语,"{'宫崎骏': 'Director, Screenplay', '戴安娜·温尼·琼斯': 'Novel'}",一部精彩的动画冒险新作，颂扬了爱情的力量可以改变一切，以及人类精神面对逆境时的韧性。
加百列的地狱,(2020),,,,84,英语,"{'托斯卡·马斯克': 'Director', 'Sylvain Reynard': 'Novel', 'Mary Pocrnic': 'Screenplay'}",一个迷人的探索诱惑，禁止的爱，和救赎，一个迷人和激情的故事，一个人从他自己的地狱，因为他试图赢得不可能的宽恕和爱。
七宗罪,(1995),1995-09-22 (CN),犯罪、悬疑、惊悚,2h 7m,84,英语,"{'大卫·芬奇': 'Director', '安德鲁·凯文·沃克': 'Writer'}",“暴食”、“贪婪”、“懒惰”、“嫉妒”、“骄傲”、“淫欲”、“愤怒”，这是天主教教义所指的人性七宗罪。城市中发生的连坏杀人案，死者恰好都是犯有这些教义的人。凶手故弄玄虚的作案手法，令资深冷静的警员沙摩塞（摩根•弗里曼 Morgan Freeman 饰）和血气方刚的新扎警员米尔斯（布拉德•皮特 Brad Pitt 饰）都陷入了破案的谜团中。他们去图书馆研读但丁的《神曲》，企图从人间地狱的描绘中找到线索，最后从宗教文学哲学的世界中找到了凶手作案计划和手段的蛛丝马迹。凶手前来投案自首，这令众人都松了一口气，以为案件就此结束，怎料还是逃不出七宗罪的杀人逻辑，这次凶手瞄准的目标，是那个犯了“愤怒”罪的人……
